x | 2 | 
ry | 0 | 2.08598945840031
ry | 1 | 1.37373643933089
ry | 2 | -3.15886168705421
ry | 3 | 2.98537990799755
ry | 4 | -0.0902350035134933
ry | 5 | 4.73789555769982
ry | 6 | 3.65378068903094
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 0 6 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 1 6 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 2 6 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 3 6 | 
cx | 4 5 | 
cx | 4 6 | 
cx | 5 6 | 
ry | 0 | -0.886937114711632
ry | 1 | -1.62628815311597
ry | 2 | 1.57106772260022
ry | 3 | -4.71195260561284
ry | 4 | -0.684145883813121
ry | 5 | -1.57786496696632
ry | 6 | -0.115052272909178
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 0 6 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 1 6 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 2 6 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 3 6 | 
cx | 4 5 | 
cx | 4 6 | 
cx | 5 6 | 
ry | 0 | 0.207698026943404
ry | 1 | -1.55615169640267
ry | 2 | -4.71214376223503
ry | 3 | 1.57077251719104
ry | 4 | 10.9932641378723
ry | 5 | 1.57093785626312
ry | 6 | 1.55346096923655
